trip_id,membership_type,bicycle_id,bike_type,checkout_datetime,checkout_date,checkout_time,checkout_kiosk_id,checkout_kiosk,return_kiosk_id,return_kiosk,trip_duration_minutes,month,year
29690720,Local31,21688,electric,2023-05-22T13:59:33.000,2023-05-22T00:00:00.000,2025-11-19 13:59:33,2547,21st/Guadalupe,2547,Red River/Cesar Chavez @ The Fairmont,23,5,2023
29692280,Local31,21688,electric,2023-05-22T16:24:24.000,2023-05-22T00:00:00.000,2025-11-19 16:24:24,4060,Red River/Cesar Chavez @ The Fairmont,4060,3rd/Trinity @ The Convention Center,4,5,2023
29692903,Local31,19847,electric,2023-05-22T17:18:09.000,2023-05-22T00:00:00.000,2025-11-19 17:18:09,2539,3rd/Trinity @ The Convention Center,2539,Red River/Cesar Chavez @ The Fairmont,4,5,2023
29696643,Local31,18181,electric,2023-05-23T08:41:44.000,2023-05-23T00:00:00.000,2025-11-19 08:41:44,4060,Red River/Cesar Chavez @ The Fairmont,4060,3rd/Trinity @ The Convention Center,4,5,2023
29775185,Local365,21789,electric,2023-05-31T13:57:45.000,2023-05-31T00:00:00.000,2025-11-19 13:57:45,2552,3rd/West,2552,6th/Congress,7,5,2023
29776958,Local365,21767,electric,2023-05-31T16:49:16.000,2023-05-31T00:00:00.000,2025-11-19 16:49:16,3619,6th/Congress,3619,3rd/West,5,5,2023
29651513,Local365,19437,electric,2023-05-18T06:25:56.000,2023-05-18T00:00:00.000,2025-11-19 06:25:56,3621,3rd/Nueces,3621,6th/Congress,7,5,2023
29526269,Local31,22521,electric,2023-05-04T17:18:28.000,2023-05-04T00:00:00.000,2025-11-19 17:18:28,3619,6th/Congress,3619,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,6,5,2023
13576030,Annual,539,classic,2017-01-29T18:00:48.000,2017-01-29T00:00:00.000,2025-11-19 18:00:48,2501,5th & Bowie,2494,2nd & Congress,6,1,2017
29717959,Local31,19688,electric,2023-05-25T17:17:59.000,2023-05-25T00:00:00.000,2025-11-19 17:17:59,3619,6th/Congress,3619,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,6,5,2023
29664723,Local31,21789,electric,2023-05-19T17:52:36.000,2023-05-19T00:00:00.000,2025-11-19 17:52:36,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,2566,3rd/West,2,5,2023
29680169,Local31,21650,electric,2023-05-21T12:35:27.000,2023-05-21T00:00:00.000,2025-11-19 12:35:27,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,2566,2nd/Lavaca @ City Hall,5,5,2023
29643541,Local31,21800,electric,2023-05-17T07:40:09.000,2023-05-17T00:00:00.000,2025-11-19 07:40:09,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,2566,6th/Congress,7,5,2023
29645284,Local31,21703,electric,2023-05-17T11:58:16.000,2023-05-17T00:00:00.000,2025-11-19 11:58:16,3619,6th/Congress,3619,2nd/Lavaca @ City Hall,4,5,2023
29648828,Local31,21800,electric,2023-05-17T17:49:19.000,2023-05-17T00:00:00.000,2025-11-19 17:49:19,3619,6th/Congress,3619,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,7,5,2023
29662270,Student Membership,21491,electric,2023-05-19T13:48:19.000,2023-05-19T00:00:00.000,2025-11-19 13:48:19,2494,2nd/Congress,2494,South Congress/Academy,6,5,2023
29663312,Student Membership,19646,electric,2023-05-19T15:38:38.000,2023-05-19T00:00:00.000,2025-11-19 15:38:38,2570,South Congress/Academy,2570,2nd/Congress,6,5,2023
29772156,Local365,22470,electric,2023-05-31T08:24:44.000,2023-05-31T00:00:00.000,2025-11-19 08:24:44,3377,Veterans/Atlanta @ MoPac Ped Bridge,3377,South Congress/Barton Springs @ The Austin American-Statesman,29,5,2023
29772486,Local365,19739,electric,2023-05-31T09:14:32.000,2023-05-31T00:00:00.000,2025-11-19 09:14:32,3513,South Congress/Barton Springs @ The Austin American-Statesman,3513,Riverside/South Lamar,7,5,2023
29772589,Local365,21712,electric,2023-05-31T09:23:39.000,2023-05-31T00:00:00.000,2025-11-19 09:23:39,2575,Riverside/South Lamar,2575,Veterans/Atlanta @ MoPac Ped Bridge,12,5,2023
29706618,Local365,17438,electric,2023-05-24T11:41:57.000,2023-05-24T00:00:00.000,2025-11-19 11:41:57,3687,Boardwalk West,3687,South Congress/Barton Springs @ The Austin American-Statesman,7,5,2023
29659668,Local365,19480,electric,2023-05-19T08:47:11.000,2023-05-19T00:00:00.000,2025-11-19 08:47:11,3513,South Congress/Barton Springs @ The Austin American-Statesman,3513,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,10,5,2023
29778777,Student Membership,19552,electric,2023-05-31T19:36:18.000,2023-05-31T00:00:00.000,2025-11-19 19:36:18,2537,6th/West,2537,3rd/West,2,5,2023
29727820,Student Membership,19745,electric,2023-05-26T18:38:38.000,2023-05-26T00:00:00.000,2025-11-19 18:38:38,3455,4th/Guadalupe @ Republic Square,3455,3rd/Nueces,29,5,2023
29649575,Student Membership,19783,electric,2023-05-17T18:53:48.000,2023-05-17T00:00:00.000,2025-11-19 18:53:48,3660,East 6th/Medina,3660,3rd/Nueces,8,5,2023
